epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4063.56,1.73438,2.04317,1.36275,0.5563,0.52094,0.52283,0.25987,1.73487,1.72535,1.38597,0.000333044,0.000333044,0.000333044
2,7257.75,1.6769,1.51936,1.34289,0.64669,0.55003,0.59812,0.31869,1.67325,1.39304,1.36425,0.000534435,0.000534435,0.000534435
3,10446.7,1.6447,1.37837,1.33656,0.63684,0.62182,0.65386,0.35514,1.64235,1.23948,1.33953,0.000603825,0.000603825,0.000603825
4,13730.3,1.61057,1.28677,1.31814,0.68144,0.62732,0.68566,0.38493,1.60624,1.17344,1.33408,0.000406,0.000406,0.000406
5,17259.2,1.56984,1.19167,1.29408,0.69212,0.6673,0.71934,0.41209,1.57213,1.09884,1.28411,0.000208,0.000208,0.000208
